# Every config revision the publisher's CDN still serves for Futurama: Worlds of
# Tomorrow, at https://config-fut-tc.akamaized.net/<name> -- no .json suffix.
# The bucket denies listing, so the names have to be known in advance.
#
# name    <Name>-<md5 of the PLAINTEXT>, which install.py verifies
# etag    md5 of the CIPHERTEXT as served, which install.py verifies on download
# length  bytes as served
#
# 956 rows, all 200 when last checked. Hashes and sizes only: no game data.
name	etag	length
AMC_Event-5003c14eacea179f0d04d2768d334877	7bb84a742774d9d402d1a67d7346290b	278253
AMC_Event-722ac8e11551b9498938c1ead2b4ea9e	94ead9afab9e5e74ab99ab6d63a70625	278610
AnalyticEvents-07e41416111e70e62b4234d6df3d3752	688bd8682caf7d13425726c8d6bb707a	468
AnalyticEvents-82e49c1145c27f05976f077678521375	5fd9ab2e1f999437f24c3e74967b6de8	444
AnalyticEvents-986bd57ffaa1448b66f952fad085907e	e8f9bf591eeb7f88806801d42d8f505f	452
AnalyticEvents-ce5919348dd406c8ddde5e0e2dfac7ed	29a62c3cdfcfa222c3fe25ed301fabba	574
AnimationConfig-18b7a83e681c6a587b92e6cb61a1679d	cc6f626410c2ff770c8be5d97f6e18f2	306479
AnimationConfig-22e5ee270a96d128e52f64df1f84fc42	c6749fc42caba92704fe21dee77c969d	291171
AnimationConfig-3df67d0edce18ddf0b200b63dca8d4ff	92a12637d35ecce61061c6679e17a120	293871
AnimationConfig-490a7ab0557565fd3737b302bdbe9647	5a3a7e687542000f516f42b20f14e4a7	305949
AnimationConfig-81365fa04c71e3b690d24c355c0f676c	488e4a1285fb4f5c017a1faefb6f7ff4	289407
AnimationConfig-adbb284fa6206ba4b600f2b978ffe624	202687ad21144d5f6b197ca993c138dd	290869
AnimationConfig-b1c6152f2e438a583162d294c75d71c7	2a3a84d535ddd469ba79cc8075179f64	286287
AnimationConfig-cbf7510c75ce2916db563915bccacee9	b5866429564114e745e50e58b1c4f818	285791
AnimationConfig-cc37c6c940f7eac3bf9ada5d7eba7826	7f21acb1f8f86e884124a9dd3b4c9686	306479
AnimationConfig-d17dc224a733cf113f1bb3cd2a0e4393	de8124e12aed1626bcb3c31b65f1d99e	290377
AnimationConfig-e202fe57368a89f7c1442430ee38ff02	189f2f6c67961fae51ad0e21cbd3da19	286741
AnimationConfig-e322ddab78eabceedd3b1760b85c27d2	81a75bc4f2a77f1dc5c4b7d2e41dd6c6	286149
AnimationConfig-f29b0609e6f1a0f96708753da3067703	857809fb7c66c051881b0073748be5e5	286287
AnimationConfig-f7180523b595fe87a3617aff2b772acf	a7b26ddfffc0b556ecdaf80e7867483e	285791
AppConfig-2ecac465275eaf0503326c448fc60dd9	0e9b025f983688e1793840b943654807	7258
AppConfig-ce7afe37460ad6eade62d688855d2773	d73d6829b4c8c7e617313a3fa61bcf89	7259
Blocks-0c9e7f4846935e23a07be08ac63987ee	2bd92b36ce893d5ef5a5a4f7ce52df88	13423
Blocks-42c86170d0222d14bab2e51411fe2540	513fcebc0c229f7b6fd597a2afe10158	11444
Blocks-775b7f97bd82ee9edc96e8e423df03c5	00cfffb369e9c825ae543ee397dfec5c	11687
Blocks-99dc8b66a129f1150f54fd8d303fbe5c	fdac8e659740bc96c1b9ea391e8c33fe	11444
Blocks-c1ed35b22e313e8a8391d29a48af056c	b3416d4e49ec89b9e7d433694d844c78	11452
Buildings-0f70abce5fbe2a41492cbe8eb9981207	e5adbf0daffb18f6fa0ce84ad59f1347	184202
Buildings-2b3e70c745b2f8478f695acefd810e8f	ba568fa2ce47b9c5bf400c9c51041f61	184215
Buildings-57feb76477b705387aa81a89a6d60fc7	11910a201f04d7e098825ffbeca9c323	175998
Buildings-620baadc14a045f1846c50e59fef68e9	006da152fd3f634835034abe3f471957	175476
Buildings-64e907d61dd2c7ef95cd326c26510978	1be0208686080b00b6914eb0af787794	175795
Buildings-65ac2e0efe7fa26c38f3aa122fa465cd	c11b0dff8cbaa07b0085f7acd40ba263	175439
Buildings-78b2011daca7f90a8771fe9d159dabe3	edacac48b06bb15756455a37502f1790	175676
Buildings-7e129f39e18512e78744b441ee527c72	63d74f38005bdf02a2901cc2661bc031	175646
Buildings-97451aad87d0fca7fb24b02c2d916a48	7ecf0e01cf609c8d958adee069980a17	176001
Buildings-b25b971570f099672b1eb177ed87f5a4	d84b9b3d3b8ae8b178643767b095f268	175448
Buildings-b88cee942fc58f9a38e8b93bc079875a	7d15ae0bab60a727225918193ad2dc47	175675
Buildings-ec9e48b98ec98e839ab6b80257b7fe1f	14b6c692e242efa0fa18adc876b1f708	175600
Buildings-f4e430ae5c58fc65ddf1699063214fcc	6fac46a1f2b3201b1fbac311d0414760	175251
CaptainLevels-32b779fd41bedcd5ce39f09d861217e9	75c1cca16fe7bd86f42145d2eccedc3f	764417
CaptainLevels-6a8db9b98278239af66e48fd7b47825a	c694107bb1a1b1155f2eaa0ffe22ab21	764417
CaptainLevels-b6625cb97347b3ecc65e1bb7dbf7e0c6	2851e01083a6694dda54964cc8db67a5	582885
CaptainLevels-b9c9858a5bcc38c8e222b36d57a1dc38	78afa541897964619c70527213629938	656000
CaptainLevels-ce82fe795852847a969155e030eb388a	f92ea515a40bc3b106cb12c2cfeb5502	658760
CaptainLevels-d2480f0e874a3e37ed24c41d00cd0b6e	f998768aaca7a74718dc54a75c47175c	692675
CaptainLevels-ddd024551433ea179e937e56bf30efeb	4b9ea54e9b91646459fad3fa2c178992	727924
CaptainLevels-dfbae7bc4c26558425407d516b5324bd	d794e075df121adb952082e6fba062f2	508
CaptainLevels-ffef77f7be600799c8bdd6695990f018	7593f2a315c762377d60d7c4375d590b	616119
CharacterActions-148a290e54ad513dd31107db7eeb2c6a	4050a1d79e0d72cbc294ff8aa0687a6c	237356
CharacterActions-167c336a3086fda0dab3570a61d6d9b6	04a7fddfcb4deb9f2e9133a9a48434de	230430
CharacterActions-353aa3a146dbcb7119f7134a85f7f87f	f4434aa4c61cb5c50177e73328ded061	237286
CharacterActions-572d3eff1fe362197a97a9746336a490	66e9797f8ae3408e034e39f73c609968	245976
CharacterActions-5929d57a9af6ab3fd358094690ea242f	ab803e48c23023aedd92f014d5f0daf6	230168
CharacterActions-5e396a3a03f4adf50b76f4752bf666d2	6a1c9f01bbf505a895f34bfe21e57202	237309
CharacterActions-7f427b35c51b02ebce31259c00fb4709	e92118cc6cdc30c31f6d68874bd2fd7f	245976
CharacterActions-87eca39cb32a9fbc79b7fefeaf9592df	683da4d0e8c89d33bc955f2953879b76	238732
